i pi ri
1 54.27906 0.167542743682861
2 87.4472 3.34509124755859
3 79.44187 2.14688453674316
4 98.727 0.145342254638672
5 44.29013 1.15174951553345
6 52.332 0.645600175857544
7 56.47153 0.236068296432495
8 29.59157 1.16818809509277
9 60.45019 0.633541345596313
10 43.18269 0.194450616836548
11 82.81912 1.70941715240479
12 44.94253 0.911597537994385
13 2.612752 0.0829120576381683
14 58.6809 2.44871253967285
15 46.61941 0.895215320587158
16 37.99277 1.10454568862915
17 9.693831 0.0619466364383698
18 49.07077 1.16049280166626
19 0.06965995 0.00324414744973183
20 78.51768 2.84082183837891
